X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE
-122.286944205093,47.4999847488054,1,6002948,0000000,600,Green River Trail Site - Tukwila,Green River Trail Site - Tukwila,27th Ave S and S 112th St to 69th Ave S and S 180th St,98188
-122.305464871654,47.6355316394792,2,828,0000000,600,Interlaken Park,Interlaken Park,Interlaken Pl & Delmar Dr E,98102
-122.21106385043,47.4059610251808,3,374,0000000,600,Garrison Creek Park,Garrison Creek Park,S 218th St & 98th Ave S,98031
-121.912156031828,47.6504656557279,4,1891,124849,390,Carnation Library,Carnation Lib,4804 Tolt  Ave,98014
-122.295038324841,47.4413482117496,5,1817,401027,60,Sea-Tac Office Center,Sea-Tac Office Center,18000 Pacific Hwy S,98188
-122.354181071928,47.6138972751788,6,1774,0000000,630,Pier 69,Pier 69,Alaslan Way & Cedar St,98121
-122.105357311185,47.6639128875391,7,621,0000000,600,Marymoor Park East,Marymoor Park East,176th Ave NE & NE 65th St,98052
-122.384201477463,47.6698194551954,8,897,327094,390,Ballard Library,Ballard Lib,5614 22nd Ave NW,98107
-122.34438950859,47.6105136282938,9,1061,0000000,600,Victor Steinbrueck Park,Victor Steinbrueck Park,Lenora St & Pike Pl,98121
-122.206880707024,47.6174793493102,10,130,0000000,600,Goodard Park,Goodard Park,100th Ave NE & NE 8th St,98004
-122.0030076304,47.3085242494776,11,352055,0000000,350,Diamond Mart,Diamond Mart,32632 3RD AVE,98010
-122.337705569563,47.605095118707,12,352056,0000000,350,"Diane'S Market Kitchen; Llc","Diane'S Market Kitchen; Llc",1101 POST ALY,98101
-122.373987070018,47.6304067989059,13,352057,0000000,350,Dianne'S Delights Llc,Dianne'S Delights Llc,1405 ELLIOTT AVE W #D,98119
-122.216013890298,47.3206677693089,14,352059,0000000,350,Dick Scobee Elementary,Dick Scobee Elementary,1031 14TH ST NE,98002
-122.350643990593,47.6155785691905,15,351668,0000000,350,Cj'S Eatery,Cj'S Eatery,2619 1ST AVE,98121
-122.332835229683,47.5538889694738,16,351674,0000000,350,Classic Catering Northwest,Classic Catering Northwest,115 S BRANDON ST,98108
-122.362721840089,47.5516713287519,17,351675,0000000,350,Classic Street Dining @ 10500 Greenwood Ave N,Classic Street Dining,5604 DELRIDGE WAY SW,98106
-122.237506380465,47.3282013892981,18,351676,0000000,350,Classics Court,Emerald Downs,2300 EMERALD DOWNS DR,98001
-122.178722000327,47.5516759987334,19,351687,0000000,350,Cloud Nine Burgers,Cloud Nine Burger,5630 119TH AVE SE,98006
-122.397968349882,47.6904449790431,20,351697,0000000,350,Cocina Esperanza,Cocina Esperanza,3127 NW 85TH ST,98117
-122.209778619808,47.7034688492835,21,351733,0000000,350,Columbia Athletic Club,Columbia Athletic Club,11450 98TH AVE NE,98033
-122.152032550345,47.7338850591384,22,351739,0000000,350,Columbia Winery,Columbia Winery,14030 NE 145TH ST,98072
-122.190769170061,47.6210934592736,23,351750,0000000,350,Commons Cafe,Commons Cafe,1200 NE 112TH AVE #C162,98004
